module,rel_fro,max_absdiff,maxW_a,maxW_b,zero_frac_a,zero_frac_b,zero_rows_a,zero_rows_b,zero_cols_a,zero_cols_b,nonfinite_b
model.layers.3.mlp.gate_proj.weight,0.2934453785419464,0.01953125,0.0693359375,0.0703125,0.31588175892829895,0.3160995841026306,0,0,0,0,0
model.layers.3.mlp.up_proj.weight,0.29393643140792847,0.0225830078125,0.06787109375,0.06787109375,0.3170640766620636,0.31734976172447205,0,0,0,0,0
model.layers.3.self_attn.k_proj.weight,0.3374009132385254,0.0223388671875,0.0693359375,0.07470703125,0.31971263885498047,0.32007622718811035,0,0,2,2,0
model.layers.3.self_attn.o_proj.weight,0.3412259817123413,0.0262451171875,0.10498046875,0.10498046875,0.32621705532073975,0.3269159197807312,0,0,0,0,0
model.layers.3.self_attn.q_proj.weight,0.3193376064300537,0.0189208984375,0.07568359375,0.07568359375,0.31754666566848755,0.31769615411758423,0,0,3,3,0
model.layers.3.self_attn.v_proj.weight,0.2883863151073456,0.004730224609375,0.0169677734375,0.0166015625,0.32073163986206055,0.3210628032684326,0,0,2,2,0
model.layers.30.mlp.down_proj.weight,0.33536505699157715,0.0595703125,0.1787109375,0.2314453125,0.32476314902305603,0.32512426376342773,0,0,0,0,0
model.layers.30.mlp.gate_proj.weight,0.2866705358028412,0.031982421875,0.126953125,0.1015625,0.31653955578804016,0.31676334142684937,0,0,0,0,0
model.layers.30.mlp.up_proj.weight,0.2849549353122711,0.03009033203125,0.10205078125,0.07666015625,0.3162001967430115,0.31638267636299133,0,0,0,0,0
model.layers.30.self_attn.k_proj.weight,0.32720157504081726,0.0263671875,0.06591796875,0.06591796875,0.3184092044830322,0.31817102432250977,0,0,0,0,0
model.layers.30.self_attn.o_proj.weight,0.3410690128803253,0.02880859375,0.08642578125,0.0869140625,0.3368907570838928,0.3377206325531006,0,0,0,0,0
model.layers.30.self_attn.q_proj.weight,0.31497299671173096,0.02557373046875,0.0556640625,0.06591796875,0.31827813386917114,0.3183908462524414,0,0,0,0,0
model.layers.30.self_attn.v_proj.weight,0.293844610452652,0.01434326171875,0.057373046875,0.057373046875,0.32418060302734375,0.32475876808166504,0,0,0,0,0
model.layers.31.mlp.down_proj.weight,0.33983367681503296,0.0751953125,0.2255859375,0.2255859375,0.33168408274650574,0.331092894077301,0,0,0,0,0
model.layers.31.mlp.gate_proj.weight,0.3019934296607971,0.0174560546875,0.0654296875,0.05224609375,0.3186728060245514,0.3189364969730377,0,0,0,0,0
model.layers.31.mlp.up_proj.weight,0.3003762364387512,0.03564453125,0.142578125,0.138671875,0.3168710172176361,0.31731700897216797,0,0,0,0,0
