layer,head,score
26,17,0.00043600593926385045
26,18,0.0001665949821472168
26,19,0.00044239591807127
26,20,0.0008911594050005078
26,21,0.00044697709381580353
26,22,2.3674219846725464e-06
26,23,0.0025875484570860863
26,24,0.0015135793946683407
26,25,0.0008717239834368229
26,26,0.0002365773543715477
26,27,0.0005427724681794643
27,0,0.0024170055985450745
27,1,0.000604719971306622
27,2,0.0015837899409234524
27,3,0.001963072456419468
27,4,0.001241585472598672
27,5,0.0007479765918105841
27,6,0.0010113713797181845
27,7,0.0016762958839535713
27,8,0.0007263710722327232
27,9,0.0004977518692612648
27,10,nan
27,11,0.0002144118770956993
27,12,0.0001286473125219345
27,13,nan
27,14,0.0005735527956858277
27,15,0.0005231888499110937
27,16,0.0008595895487815142
27,17,0.0003148728283122182
27,18,0.0004301975714042783
27,19,0.0006288987351581454
27,20,0.002790812635794282
27,21,0.0006873115198686719
27,22,0.00038906605914235115
27,23,0.00033272127620875835
27,24,0.00048604514449834824
27,25,0.0008060520049184561
27,26,0.0011546367313712835
27,27,0.00034988741390407085
