tag,layer,send_total,clip_frac_mean,obj_ratio_c4,obj_ratio_alt,comp_disp_rel_mean,worst_module
llama,28,989.184944152832,0.0020555488917292377,0.46779464334285314,1.019040480974633,0.025740430526563364,down_proj
llama,29,995.8241004943848,0.0020445950177251076,0.4609936623119956,0.9774146027635522,0.024481610874367905,down_proj
llama,30,1121.2862815856934,0.0020407608577183317,0.43101729715868836,0.9672712907765965,0.0299299568526038,down_proj
llama,31,1260.259033203125,0.0020478671910811445,0.32417078858880943,0.5417663230879146,0.02735397301069098,gate_proj
q7,0,5843.665367603302,0.002097688229613229,0.011943613942664598,0.08097988094674412,0.07961804015210232,gate_proj
q7,1,2269.7807092666626,0.002063889488825589,0.013787731185191516,0.026055355973577974,0.05683443087730452,down_proj
q7,2,2618.081823348999,0.002050283304409405,0.02812324172862613,0.057201184617757424,0.05215806676199986,down_proj
q7,3,1403.7906875610352,0.002056270314112086,0.10168591429724944,0.07363657005063254,0.04038426360225539,gate_proj
q7,4,1430.4730415344238,0.002050155857270439,0.18905077438567058,0.22755924039546815,0.03503269427895802,gate_proj
q7,5,2480.451780319214,0.002059322132041161,0.20781182130438414,0.4045803931295568,0.0420446317313638,down_proj
q7,6,2009.8636674880981,0.0020405865008644476,0.23265885530582303,0.4446620351488191,0.03484541397072315,down_proj
q7,7,1861.8447399139404,0.0020359944962842764,0.493082780064516,0.8640183378387195,0.03454996493694,down_proj
q7,8,1675.0269956588745,0.002045106966720388,0.5096052193766902,0.8947891290399136,0.03402978205420715,down_proj
q7,9,1873.2873573303223,0.002042098132142426,0.3945592876506375,0.8025180376989647,0.034192281412294225,down_proj
q7,10,1745.2966785430908,0.002046523012644141,0.47152647167466183,0.9446540212969408,0.031384100897822294,down_proj
q7,11,1672.1897325515747,0.002049897055415132,0.49107662906687344,0.887752132003995,0.033984583759392235,down_proj
q7,12,1736.6169338226318,0.0020409000088029905,0.4930858943780157,0.9262563407202052,0.034176853603672,down_proj
q7,13,1778.6196823120117,0.0020450877294163924,0.47367315611701377,0.9197618402362925,0.0353715224708166,down_proj
q7,14,1887.8436241149902,0.002040784885561896,0.46436313080120944,0.9471188572561889,0.03973175560537233,down_proj
q7,15,1847.1207122802734,0.002042080097169931,0.45796009046171116,0.942104677733219,0.03896789828780773,down_proj
q7,16,1726.623435974121,0.002059637744059828,0.480852396397788,0.983819266435238,0.037210767211829573,down_proj
q7,17,1766.3383769989014,0.002044166442904759,0.4884631113294768,0.9876089879947134,0.03551521396383698,down_proj
q7,18,1896.7966289520264,0.002052055240457066,0.4475075642189808,0.9594235261634582,0.03580085993599991,down_proj
q7,19,1945.5739822387695,0.002049457302669122,0.40214959644540277,0.9554106184380989,0.0363849197174221,down_proj
q7,20,2064.6021575927734,0.002053463170643197,0.39592564266611924,0.9626990943447628,0.035252262018790545,down_proj
q7,21,2170.3678436279297,0.0020407848855618954,0.3698926108219704,0.9695979708782516,0.03951053368033864,down_proj
q7,22,2270.9022941589355,0.002061859352088371,0.35694626976369553,0.9786305962132664,0.04468301048623678,down_proj
q7,23,2249.6608238220215,0.002038576202596974,0.35195628294950154,0.9874600091640189,0.04638346653517644,down_proj
q7,24,2192.9335327148438,0.0020615305144232074,0.35429886476781564,1.058437330781026,0.04070720105382982,down_proj
q7,25,2234.039749145508,0.002049117644020461,0.35961207863958916,1.0527358470914838,0.04634109323817666,down_proj
