tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
f_q14_c4chat,0.7736,0.7227,0.7938,0.7579,0.8201,,,,runs\scores_f_q14_c4chat.csv
f_q14_c4win,0.7661,0.7116,0.7878,0.7486,0.8165,,,,runs\scores_f_q14_c4win.csv
f_q14_damp0p1,0.4821,0.3882,0.5168,0.4529,0.5707,,,,runs\scores_f_q14_damp0p1.csv
f_q14_damp5,0.7703,0.719,0.7914,0.7505,0.8201,0.7437,7.574,,runs\scores_f_q14_damp5.csv
f_q14_gptq4,0.8085,0.7689,0.8261,0.7911,0.8477,0.7873,6.202,,runs\scores_f_q14_gptq4.csv
f_q14_gw,0.5802,0.4991,0.6067,0.5545,0.6607,,,,runs\scores_f_q14_gw.csv
f_q14_gwtn,0.7358,0.6654,0.7566,0.7227,0.7986,0.7269,7.803,,runs\scores_f_q14_gwtn.csv
f_q14_gwtn_cs1,0.7299,0.6673,0.7554,0.7079,0.789,,,,runs\scores_f_q14_gwtn_cs1.csv
f_q14_l4down,0.768,0.7153,0.7794,0.7597,0.8177,0.7279,7.807,,runs\scores_f_q14_l4down.csv
f_q14_none,0.4256,0.3327,0.4664,0.3863,0.5168,0.7391,7.655,,runs\scores_f_q14_none.csv
f_q14_pile,0.2711,0.2033,0.3273,0.2107,0.3429,,,,runs\scores_f_q14_pile.csv
f_q14_pile_gwtn,0.782,0.7301,0.7938,0.7745,0.8297,,,,runs\scores_f_q14_pile_gwtn.csv
f_q14_rot,0.7092,0.6543,0.7398,0.6802,0.7626,,,,runs\scores_f_q14_rot.csv
f_q14_rtn3,,,,,,0.6983,9.264,,runs\general_f_q14_rtn3.csv
f_q14_tnorm,0.7583,0.695,0.771,0.7505,0.8165,,,,runs\scores_f_q14_tnorm.csv
f_q14_ultrachat,0.7704,0.7172,0.795,0.7505,0.8189,,,,runs\scores_f_q14_ultrachat.csv
f_q14_wiki,0.2192,0.1608,0.2722,0.1645,0.2794,,,,runs\scores_f_q14_wiki.csv
f_q32_c4win,0.7913,0.7338,0.8141,0.7745,0.8429,,,,runs\scores_f_q32_c4win.csv
f_q32_gptq4,0.8393,0.8022,0.8633,0.8152,0.8765,,,,runs\scores_f_q32_gptq4.csv
f_q32_gptq4_gwtn,0.8294,0.7819,0.8477,0.8152,0.8729,,,,runs\scores_f_q32_gptq4_gwtn.csv
f_q32_gwtn,0.7914,0.7412,0.8141,0.7708,0.8393,,,,runs\scores_f_q32_gwtn.csv
f_q32_none,0.7841,0.7264,0.8034,0.7671,0.8393,,,,runs\scores_f_q32_none.csv
f_q3_c4win,0.4311,0.342,0.4664,0.3956,0.5204,,,,runs\scores_f_q3_c4win.csv
f_q3_gptq4,0.6213,0.549,0.6523,0.5933,0.6906,,,,runs\scores_f_q3_gptq4.csv
f_q3_gwtn,0.46,0.3845,0.488,0.4362,0.5312,,,,runs\scores_f_q3_gwtn.csv
f_q3_none,0.4398,0.3623,0.4712,0.4067,0.5192,,,,runs\scores_f_q3_none.csv
f_q7_c4win,0.6742,0.6155,0.7014,0.6506,0.729,,,,runs\scores_f_q7_c4win.csv
f_q7_gptq4,0.7672,0.7172,0.7902,0.7449,0.8165,,,,runs\scores_f_q7_gptq4.csv
f_q7_gwtn,0.6294,0.5601,0.6619,0.5989,0.6966,,,,runs\scores_f_q7_gwtn.csv
f_q7_none,0.666,0.5915,0.6906,0.647,0.735,,,,runs\scores_f_q7_none.csv
f_qwen3_14b_c4win,0.4457,0.3494,0.5036,0.3937,0.536,,,,runs\scores_f_qwen3_14b_c4win.csv
f_qwen3_14b_gptq4,0.4658,0.3715,0.5264,0.4067,0.5588,,,,runs\scores_f_qwen3_14b_gptq4.csv
f_qwen3_14b_gptq4_gwtn,0.4826,0.3956,0.5468,0.4196,0.5683,,,,runs\scores_f_qwen3_14b_gptq4_gwtn.csv
f_qwen3_14b_gwtn,0.481,0.3882,0.5276,0.4362,0.5719,,,,runs\scores_f_qwen3_14b_gwtn.csv
f_qwen3_14b_none,0.5045,0.414,0.554,0.4566,0.5935,,,,runs\scores_f_qwen3_14b_none.csv
f_qwen3_8b_c4win,0.3919,0.3142,0.4556,0.329,0.4688,,,,runs\scores_f_qwen3_8b_c4win.csv
f_qwen3_8b_gptq4,0.4165,0.3364,0.4808,0.3549,0.494,,,,runs\scores_f_qwen3_8b_gptq4.csv
f_qwen3_8b_gwtn,0.3859,0.3087,0.4436,0.3272,0.464,,,,runs\scores_f_qwen3_8b_gwtn.csv
f_qwen3_8b_none,0.3921,0.3124,0.4544,0.329,0.4724,,,,runs\scores_f_qwen3_8b_none.csv
f_sm_c4win,0.2386,0.1756,0.2758,0.1996,0.3034,,,,runs\scores_f_sm_c4win.csv
f_sm_gptq4,0.5514,0.4861,0.5875,0.5157,0.6163,,,,runs\scores_f_sm_gptq4.csv
f_sm_gwtn,0.322,0.2458,0.3729,0.2699,0.3993,,,,runs\scores_f_sm_gwtn.csv
f_sm_none,0.2449,0.1701,0.2866,0.2015,0.3213,,,,runs\scores_f_sm_none.csv
f_tp_l_c4_c4winles,0.1518,0.0813,0.1847,0.1109,0.2302,,,,runs\scores_f_tp_l_c4_c4winles.csv
f_tp_l_c4win_les,0.174,0.1054,0.211,0.1349,0.2446,,,,runs\scores_f_tp_l_c4win_les.csv
f_tp_l_fp16_les,0.7638,0.7061,0.7878,0.7412,0.8201,,,,runs\scores_f_tp_l_fp16_les.csv
f_tp_l_rtn_les,0.5282,0.4418,0.5659,0.4898,0.6151,,,,runs\scores_f_tp_l_rtn_les.csv
f_tp_q14_fp16_les,0.6371,0.5693,0.6727,0.6026,0.7038,,,,runs\scores_f_tp_q14_fp16_les.csv
f_tulu3_c4win,0.725,0.6562,0.753,0.7006,0.7902,,,,runs\scores_f_tulu3_c4win.csv
f_tulu3_gptq4,0.8271,0.7837,0.8465,0.8078,0.8705,,,,runs\scores_f_tulu3_gptq4.csv
f_tulu3_gwtn,0.6726,0.6081,0.7014,0.647,0.7338,,,,runs\scores_f_tulu3_gwtn.csv
f_tulu3_none,0.7263,0.6636,0.7614,0.695,0.7854,,,,runs\scores_f_tulu3_none.csv
gen_fp16,,,,,,0.7421,7.458,,runs_archive/scores\general_gen_fp16.csv
gen_gptq3,,,,,,0.6544,9.631,,runs_archive/scores\general_gen_gptq3.csv
gen_l32_fp16,,,,,,0.6071,11.05,,runs_archive/scores\general_gen_l32_fp16.csv
gen_l32_none,,,,,,0.5075,1748.89,,runs_archive/scores\general_gen_l32_none.csv
gen_l3_fp16,,,,,,0.666,8.289,,runs_archive/scores\general_gen_l3_fp16.csv
gen_l3_none,,,,,,0.5668,17.372,,runs_archive/scores\general_gen_l3_none.csv
gen_l_awq,,,,,,0.5036,12.101,,runs_archive/scores\general_gen_l_awq.csv
gen_l_damp0p01,,,,,,0.5513,21.79,,runs_archive/scores\general_gen_l_damp0p01.csv
gen_l_damp0p2,,,,,,0.5463,81.843,,runs_archive/scores\general_gen_l_damp0p2.csv
gen_l_damp1,,,,,,0.559,85.84,,runs_archive/scores\general_gen_l_damp1.csv
gen_l_damp5,,,,,,0.5325,22.99,,runs_archive/scores\general_gen_l_damp5.csv
gen_llama_fp16,,,,,,0.6826,7.217,,runs_archive/scores\general_gen_llama_fp16.csv
gen_m24_fp16,,,,,,0.8073,5.635,,runs_archive/scores\general_gen_m24_fp16.csv
gen_m24_none,,,,,,0.7556,6.606,,runs_archive/scores\general_gen_m24_none.csv
gen_mistral_fp16,,,,,,0.6178,5.496,,runs_archive/scores\general_gen_mistral_fp16.csv
gen_mistral_none,,,,,,0.5706,6.589,,runs_archive/scores\general_gen_mistral_none.csv
gen_nemo_fp16,,,,,,0.6846,6.094,,runs_archive/scores\general_gen_nemo_fp16.csv
gen_nemo_none,,,,,,0.5828,9.056,,runs_archive/scores\general_gen_nemo_none.csv
gen_q14_awq,,,,,,0.7201,8.677,,runs_archive/scores\general_gen_q14_awq.csv
gen_q14_damp5,,,,,,0.7447,7.624,,runs_archive/scores\general_gen_q14_damp5.csv
gen_q14_fp16,,,,,,0.7993,5.696,,runs_archive/scores\general_gen_q14_fp16.csv
gen_q14_none,,,,,,0.7349,7.713,,runs_archive/scores\general_gen_q14_none.csv
gen_q14_none_cs1,,,,,,0.7367,7.739,,runs_archive/scores\general_gen_q14_none_cs1.csv
gen_q14_tacq,,,,,,0.7407,7.683,,runs_archive/scores\general_gen_q14_tacq.csv
gen_q32_fp16,,,,,,0.8326,5.322,,runs_archive/scores\general_gen_q32_fp16.csv
