tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
v2nemo4_tnorm,0.6073,0.5268,0.6427,0.5749,0.6847,,,,runs_archive/scores\scores_v2nemo4_tnorm.csv
v2nemo_calchat,0.5244,0.4344,0.5588,0.4917,0.6127,,,,runs_archive/scores\scores_v2nemo_calchat.csv
v2nemo_calinst,0.3736,0.2884,0.4137,0.3309,0.4616,,,,runs_archive/scores\scores_v2nemo_calinst.csv
v2nemo_damp5,0.5241,0.4418,0.5588,0.488,0.6079,,,,runs_archive/scores\scores_v2nemo_damp5.csv
v2nemo_gw,0.5354,0.4492,0.5671,0.5065,0.6187,,,,runs\scores_v2nemo_gw.csv
v2nemo_gwtn,0.5454,0.4621,0.5839,0.5083,0.6271,,,,runs\scores_v2nemo_gwtn.csv
v2nemo_rtn01down,0.5253,0.4399,0.5671,0.4824,0.6115,,,,runs_archive/scores\scores_v2nemo_rtn01down.csv
v2nemo_tcap10,0.5098,0.4251,0.5504,0.4677,0.5959,,,,runs_archive/scores\scores_v2nemo_tcap10.csv
v2nemo_tcapmed10,0.5396,0.4547,0.5755,0.5046,0.6235,,,,runs_archive/scores\scores_v2nemo_tcapmed10.csv
v2nemo_tcapmed10_cs1,0.5251,0.4344,0.5635,0.4898,0.6127,,,,runs_archive/scores\scores_v2nemo_tcapmed10_cs1.csv
v2nemo_tnorm,0.5019,0.4251,0.5408,0.464,0.5779,,,,runs_archive/scores\scores_v2nemo_tnorm.csv
v2olmo_calinst,0.7139,0.6433,0.7422,0.6932,0.777,,,,runs_archive/scores\scores_v2olmo_calinst.csv
v2olmo_damp5,0.6866,0.6155,0.7194,0.6562,0.7554,,,,runs_archive/scores\scores_v2olmo_damp5.csv
v2q14_4_l4down_rtn,0.8138,0.7708,0.8333,0.7948,0.8561,,,,runs_archive/scores\scores_v2q14_4_l4down_rtn.csv
v2q14_4_l4down_rtn_cs1,0.818,0.7745,0.8393,0.7985,0.8597,,,,runs_archive/scores\scores_v2q14_4_l4down_rtn_cs1.csv
v2q14_4_none,0.7938,0.7449,0.8129,0.7782,0.8393,,,,runs_archive/scores\scores_v2q14_4_none.csv
v2q14_4_none_cs1,0.8027,0.7579,0.8213,0.7874,0.8441,,,,runs_archive/scores\scores_v2q14_4_none_cs1.csv
v2q14_4_tnorm,0.7983,0.7579,0.8165,0.7819,0.8369,,,,runs_archive/scores\scores_v2q14_4_tnorm.csv
v2q14_c4chat,0.7723,0.7227,0.7866,0.7597,0.8201,,,,runs_archive/scores\scores_v2q14_c4chat.csv
v2q14_c4win,0.7528,0.6969,0.7734,0.7375,0.8034,,,,runs\scores_v2q14_c4win.csv
v2q14_c4wrongchat,0.7504,0.6932,0.7746,0.7283,0.8058,,,,runs_archive/scores\scores_v2q14_c4wrongchat.csv
v2q14_c4x1024_d05,0.2495,0.1867,0.2926,0.2033,0.3153,,,,runs\scores_v2q14_c4x1024_d05.csv
v2q14_c4x1024_d10,0.4346,0.3604,0.4724,0.3937,0.512,,,,runs\scores_v2q14_c4x1024_d10.csv
v2q14_calchat,0.7716,0.7264,0.7962,0.7486,0.8153,,,,runs_archive/scores\scores_v2q14_calchat.csv
v2q14_calchat_cs1,0.7737,0.7338,0.7938,0.7542,0.8129,,,,runs_archive/scores\scores_v2q14_calchat_cs1.csv
v2q14_calinst,0.7537,0.7024,0.7698,0.7394,0.8034,,,,runs_archive/scores\scores_v2q14_calinst.csv
v2q14_calwiki,0.197,0.1442,0.2434,0.1497,0.2506,,,,runs_archive/scores\scores_v2q14_calwiki.csv
v2q14_cols70m,0.2267,0.159,0.2806,0.1701,0.2974,,,,runs_archive/scores\scores_v2q14_cols70m.csv
v2q14_damp0p01,0.2978,0.2274,0.3285,0.2625,0.3729,,,,runs_archive/scores\scores_v2q14_damp0p01.csv
v2q14_damp0p1,0.4218,0.342,0.4676,0.3752,0.5024,,,,runs_archive/scores\scores_v2q14_damp0p1.csv
v2q14_damp0p2,0.7066,0.634,0.7374,0.6802,0.7746,,,,runs_archive/scores\scores_v2q14_damp0p2.csv
v2q14_damp0p5,0.7789,0.732,0.8046,0.7542,0.8249,,,,runs_archive/scores\scores_v2q14_damp0p5.csv
v2q14_damp1,0.7483,0.6858,0.7698,0.732,0.8058,,,,runs_archive/scores\scores_v2q14_damp1.csv
v2q14_damp100,0.7605,0.7079,0.7842,0.7357,0.8141,,,,runs_archive/scores\scores_v2q14_damp100.csv
v2q14_damp2,0.7748,0.7246,0.7962,0.756,0.8225,,,,runs_archive/scores\scores_v2q14_damp2.csv
v2q14_damp20,0.7567,0.7024,0.7818,0.7357,0.807,,,,runs_archive/scores\scores_v2q14_damp20.csv
v2q14_damp5,0.7857,0.7338,0.8118,0.7652,0.8321,,,,runs_archive/scores\scores_v2q14_damp5.csv
v2q14_early,0.3734,0.2884,0.4125,0.3383,0.4544,,,,runs_archive/scores\scores_v2q14_early.csv
v2q14_gw,0.699,0.6229,0.7182,0.6876,0.7674,,,,runs\scores_v2q14_gw.csv
v2q14_gw05,0.3767,0.3087,0.4065,0.342,0.4496,,,,runs\scores_v2q14_gw05.csv
v2q14_gwcap,0.2237,0.1645,0.2794,0.1645,0.2866,,,,runs\scores_v2q14_gwcap.csv
v2q14_gwtn,0.7282,0.6691,0.7362,0.7209,0.7866,0.7237,7.884,,runs\scores_v2q14_gwtn.csv
v2q14_gwtn_cs1,0.7557,0.6913,0.765,0.7486,0.8177,,,,runs\scores_v2q14_gwtn_cs1.csv
v2q14_hmag1e6,0.7495,0.695,0.759,0.7394,0.8046,,,,runs_archive/scores\scores_v2q14_hmag1e6.csv
v2q14_l4down,0.7569,0.7061,0.7734,0.7412,0.807,,,,runs_archive/scores\scores_v2q14_l4down.csv
v2q14_l4down_rtn,0.7512,0.6876,0.7734,0.732,0.8118,,,,runs_archive/scores\scores_v2q14_l4down_rtn.csv
v2q14_l4down_rtn2,0.7492,0.6858,0.7734,0.7283,0.8094,,,,runs_archive/scores\scores_v2q14_l4down_rtn2.csv
v2q14_l4down_rtn3,0.7498,0.6876,0.7722,0.7301,0.8094,0.7323,7.832,0.8901,runs_archive/scores\scores_v2q14_l4down_rtn3.csv
v2q14_nc_gwtn,0.7342,0.6821,0.7554,0.7153,0.7842,,,,runs\scores_v2q14_nc_gwtn.csv
v2q14_nc_none,0.4259,0.3327,0.4676,0.3863,0.5168,,,,runs\scores_v2q14_nc_none.csv
v2q14_none,0.4116,0.3179,0.4532,0.3715,0.5036,,,,runs_archive/scores\scores_v2q14_none.csv
v2q14_none_cs1,0.5077,0.427,0.5408,0.4732,0.5899,,,,runs_archive/scores\scores_v2q14_none_cs1.csv
v2q14_pile,0.2907,0.2163,0.3393,0.2403,0.3669,,,,runs\scores_v2q14_pile.csv
v2q14_pile_gwtn,0.7378,0.6839,0.7518,0.7264,0.789,,,,runs\scores_v2q14_pile_gwtn.csv
v2q14_randw,0.4797,0.403,0.5096,0.451,0.5552,,,,runs_archive/scores\scores_v2q14_randw.csv
v2q14_rot_none,0.6648,0.5693,0.6799,0.658,0.7518,,,,runs_archive/scores\scores_v2q14_rot_none.csv
v2q14_tacq,0.7816,0.7338,0.795,0.7689,0.8285,,,,runs_archive/scores\scores_v2q14_tacq.csv
v2q14_tacq1e5,0.216,0.1571,0.271,0.159,0.277,,,,runs_archive/scores\scores_v2q14_tacq1e5.csv
v2q14_tacq1e5_cs1,0.2044,0.1497,0.2482,0.1608,0.259,,,,runs_archive/scores\scores_v2q14_tacq1e5_cs1.csv
v2q14_tacq1e5_sx,0.6091,0.5231,0.6367,0.5896,0.6871,,,,runs_archive/scores\scores_v2q14_tacq1e5_sx.csv
v2q14_tacq1e5_sx_cs1,0.3863,0.3124,0.4257,0.3457,0.4616,,,,runs_archive/scores\scores_v2q14_tacq1e5_sx_cs1.csv
v2q14_tacq1e6,0.7341,0.6802,0.753,0.7153,0.7878,,,,runs_archive/scores\scores_v2q14_tacq1e6.csv
v2q14_tacq3e5,0.6886,0.6044,0.699,0.6858,0.765,,,,runs_archive/scores\scores_v2q14_tacq3e5.csv
v2q14_tcap10,0.3746,0.2939,0.4185,0.329,0.4568,,,,runs_archive/scores\scores_v2q14_tcap10.csv
v2q14_tcapmed10,0.742,0.6858,0.7614,0.7246,0.7962,,,,runs_archive/scores\scores_v2q14_tcapmed10.csv
v2q14_tnorm,0.7195,0.6617,0.7374,0.7043,0.7746,,,,runs_archive/scores\scores_v2q14_tnorm.csv
v2q14_tnorm_cs1,0.7243,0.671,0.7506,0.6987,0.777,,,,runs_archive/scores\scores_v2q14_tnorm_cs1.csv
v2q32_calinst,0.7992,0.7542,0.8213,0.7782,0.8429,,,,runs_archive/scores\scores_v2q32_calinst.csv
v2q32_damp5,0.792,0.7431,0.8129,0.7726,0.8393,,,,runs_archive/scores\scores_v2q32_damp5.csv
v2q32_l5down_rtn,0.801,0.7505,0.8189,0.7856,0.8489,,,,runs_archive/scores\scores_v2q32_l5down_rtn.csv
v2q32_none,0.7624,0.7043,0.7866,0.7412,0.8177,,,,runs_archive/scores\scores_v2q32_none.csv
v2q32_tnorm,0.8063,0.7597,0.8297,0.7856,0.8501,,,,runs_archive/scores\scores_v2q32_tnorm.csv
v2q3_calinst,0.4725,0.39,0.5036,0.4436,0.5528,,,,runs_archive/scores\scores_v2q3_calinst.csv
v2q3_damp5,0.4733,0.4048,0.512,0.4344,0.542,,,,runs_archive/scores\scores_v2q3_damp5.csv
v2q3_rtn2down,0.4216,0.3327,0.4556,0.3919,0.506,,,,runs_archive/scores\scores_v2q3_rtn2down.csv
v2q3_tacq,0.4841,0.3993,0.5264,0.4436,0.5671,,,,runs_archive/scores\scores_v2q3_tacq.csv
v2q3_tnorm,0.4413,0.3623,0.476,0.403,0.524,,,,runs_archive/scores\scores_v2q3_tnorm.csv
v2q7_bos10,0.6525,0.586,0.6775,0.6248,0.7218,,,,runs\scores_v2q7_bos10.csv
v2q7_gw,0.6844,0.6211,0.711,0.6562,0.7494,,,,runs\scores_v2q7_gw.csv
v2q7_none_cs1,0.655,0.5952,0.6871,0.6266,0.711,,,,runs_archive/scores\scores_v2q7_none_cs1.csv
v2q7_rtn01down,0.6631,0.597,0.6966,0.6322,0.7266,,,,runs_archive/scores\scores_v2q7_rtn01down.csv
v2q7_rtn01down_cs1,0.6888,0.6211,0.7206,0.6617,0.7518,,,,runs_archive/scores\scores_v2q7_rtn01down_cs1.csv
v2q7_tnorm,0.6821,0.6174,0.6978,0.6673,0.7458,,,,runs_archive/scores\scores_v2q7_tnorm.csv
v2q_b2_damp5,0.1231,0.0739,0.1511,0.0887,0.1787,,,,runs_archive/scores\scores_v2q_b2_damp5.csv
v2q_calchat,0.6821,0.6303,0.7086,0.6543,0.735,,,,runs_archive/scores\scores_v2q_calchat.csv
v2q_calinst,0.6602,0.5915,0.6906,0.6322,0.7266,,,,runs_archive/scores\scores_v2q_calinst.csv
v2q_damp0p5,0.6837,0.6211,0.7062,0.6654,0.7422,,,,runs_archive/scores\scores_v2q_damp0p5.csv
v2q_damp2,0.6814,0.6192,0.7074,0.658,0.741,,,,runs_archive/scores\scores_v2q_damp2.csv
v2q_damp20,0.6834,0.6211,0.705,0.6654,0.7422,,,,runs_archive/scores\scores_v2q_damp20.csv
v2q_damp5,0.7019,0.6506,0.723,0.6784,0.7554,,,,runs_archive/scores\scores_v2q_damp5.csv
v2q_gm1,0.2644,0.183,0.2866,0.2403,0.3477,,,,runs_archive/scores\scores_v2q_gm1.csv
v2q_ncal8,0.6114,0.5342,0.6379,0.5878,0.6859,,,,runs_archive/scores\scores_v2q_ncal8.csv
v2q_rot_none,0.6884,0.6303,0.7158,0.658,0.7494,,,,runs_archive/scores\scores_v2q_rot_none.csv
v2sm_calinst,0.2772,0.1996,0.3225,0.2329,0.3537,,,,runs_archive/scores\scores_v2sm_calinst.csv
v2sm_damp5,0.1582,0.1054,0.1942,0.122,0.211,,,,runs_archive/scores\scores_v2sm_damp5.csv
v2sm_rtn1down,0.1992,0.1294,0.2434,0.1553,0.2686,,,,runs_archive/scores\scores_v2sm_rtn1down.csv
v2sm_tnorm,0.2474,0.1701,0.277,0.2163,0.3261,,,,runs_archive/scores\scores_v2sm_tnorm.csv
v2yi_tacq,0.4624,0.3715,0.5012,0.4251,0.5516,,,,runs_archive/scores\scores_v2yi_tacq.csv
win_f3_c4win,0.6764,0.6063,0.7122,0.6414,0.7458,,,,runs\scores_win_f3_c4win.csv
win_f3_pile,0.6773,0.61,0.6942,0.6617,0.7434,,,,runs\scores_win_f3_pile.csv
win_granite_c4win,0.536,0.4325,0.5528,0.5268,0.6319,,,,runs\scores_win_granite_c4win.csv
win_granite_pile,0.5782,0.4972,0.6115,0.5434,0.6607,,,,runs\scores_win_granite_pile.csv
win_hermes3_c4win,0.4246,0.329,0.47,0.3826,0.5168,,,,runs\scores_win_hermes3_c4win.csv
win_hermes3_pile,0.4078,0.3161,0.4448,0.3715,0.4988,,,,runs\scores_win_hermes3_pile.csv
win_l32_c4win,0.5823,0.4917,0.6163,0.5545,0.6667,,,,runs\scores_win_l32_c4win.csv
win_l32_pile,0.6089,0.5231,0.6403,0.5767,0.6954,,,,runs\scores_win_l32_pile.csv
win_m7_c4win,0.1715,0.1109,0.2254,0.1146,0.235,,,,runs\scores_win_m7_c4win.csv
win_m7_pile,0.1787,0.1165,0.2422,0.1165,0.2398,,,,runs\scores_win_m7_pile.csv
win_ministral_c4win,0.5028,0.4251,0.5456,0.4603,0.5803,,,,runs\scores_win_ministral_c4win.csv
win_ministral_pile,0.5149,0.4399,0.5528,0.4769,0.5899,,,,runs\scores_win_ministral_pile.csv
win_nemo_c4win,0.5242,0.4492,0.5576,0.4917,0.5983,,,,runs\scores_win_nemo_c4win.csv
win_nemo_pile,0.5146,0.4344,0.5408,0.4898,0.5935,,,,runs\scores_win_nemo_pile.csv
win_q3_c4win,0.4468,0.3586,0.4784,0.414,0.536,,,,runs\scores_win_q3_c4win.csv
win_q3_pile,0.4537,0.3623,0.494,0.4177,0.5408,,,,runs\scores_win_q3_pile.csv
win_q7_c4win,0.6504,0.5749,0.6703,0.6359,0.7206,,,,runs\scores_win_q7_c4win.csv
win_q7_pile,0.6983,0.634,0.7194,0.6821,0.7578,,,,runs\scores_win_q7_pile.csv
win_qwen3_14b_c4win,0.5137,0.4233,0.5731,0.4529,0.6055,,,,runs\scores_win_qwen3_14b_c4win.csv
win_qwen3_14b_pile,0.4933,0.39,0.5324,0.4584,0.5923,,,,runs\scores_win_qwen3_14b_pile.csv
win_qwen3_8b_c4win,0.404,0.3198,0.4628,0.342,0.4916,,,,runs\scores_win_qwen3_8b_c4win.csv
win_qwen3_8b_pile,0.4102,0.3346,0.4736,0.3457,0.4868,,,,runs\scores_win_qwen3_8b_pile.csv
win_sm_c4win,0.1113,0.0702,0.1427,0.0776,0.1547,,,,runs\scores_win_sm_c4win.csv
win_sm_pile,0.1201,0.0813,0.1571,0.0813,0.1607,,,,runs\scores_win_sm_pile.csv
win_tulu3_c4win,0.7242,0.6543,0.7518,0.7006,0.7902,,,,runs\scores_win_tulu3_c4win.csv
win_tulu3_pile,0.7449,0.6858,0.7734,0.7209,0.7998,,,,runs\scores_win_tulu3_pile.csv
zero1e5_llama,0.1877,0.1386,0.2374,0.1386,0.2362,,,,runs_archive/scores\scores_zero1e5_llama.csv
zero_rand_llama,0.7761,0.7153,0.7998,0.756,0.8333,,,,runs_archive/scores\scores_zero_rand_llama.csv
