layer,proj,row,col
1,down_proj,788,357
1,down_proj,788,358
1,down_proj,788,359
1,down_proj,788,360
1,down_proj,788,361
1,down_proj,788,362
1,down_proj,788,363
1,down_proj,788,364
1,down_proj,788,365
1,down_proj,788,366
1,down_proj,788,367
1,down_proj,788,368
1,down_proj,788,369
1,down_proj,788,370
1,down_proj,788,371
1,down_proj,788,372
1,down_proj,788,373
1,down_proj,788,374
1,down_proj,788,375
1,down_proj,788,376
1,down_proj,788,377
1,down_proj,788,378
1,down_proj,788,379
1,down_proj,788,380
1,down_proj,788,381
1,down_proj,788,382
1,down_proj,788,383
1,down_proj,788,384
1,down_proj,788,385
1,down_proj,788,386
1,down_proj,788,387
1,down_proj,788,388
1,down_proj,788,389
1,down_proj,788,390
1,down_proj,788,391
1,down_proj,788,392
1,down_proj,788,393
1,down_proj,788,394
1,down_proj,788,395
1,down_proj,788,396
1,down_proj,788,397
1,down_proj,788,398
1,down_proj,788,399
1,down_proj,788,400
1,down_proj,788,401
1,down_proj,788,402
1,down_proj,788,403
1,down_proj,788,404
1,down_proj,788,405
1,down_proj,788,406
1,down_proj,788,407
1,down_proj,788,408
1,down_proj,788,409
1,down_proj,788,410
1,down_proj,788,411
1,down_proj,788,412
1,down_proj,788,413
1,down_proj,788,414
1,down_proj,788,415
1,down_proj,788,416
1,down_proj,788,417
1,down_proj,788,418
1,down_proj,788,419
1,down_proj,788,420
1,down_proj,788,421
1,down_proj,788,422
1,down_proj,788,423
1,down_proj,788,424
1,down_proj,788,425
1,down_proj,788,426
1,down_proj,788,427
1,down_proj,788,428
1,down_proj,788,429
1,down_proj,788,430
1,down_proj,788,431
1,down_proj,788,432
1,down_proj,788,433
1,down_proj,788,434
1,down_proj,788,435
1,down_proj,788,436
1,down_proj,788,437
1,down_proj,788,438
1,down_proj,788,439
1,down_proj,788,440
1,down_proj,788,441
1,down_proj,788,442
1,down_proj,788,443
1,down_proj,788,444
1,down_proj,788,445
1,down_proj,788,446
1,down_proj,788,447
1,down_proj,788,448
1,down_proj,788,449
1,down_proj,788,450
1,down_proj,788,451
1,down_proj,788,452
1,down_proj,788,453
1,down_proj,788,454
1,down_proj,788,455
1,down_proj,788,456
1,down_proj,788,457
1,down_proj,788,458
1,down_proj,788,459
1,down_proj,788,460
1,down_proj,788,461
1,down_proj,788,462
1,down_proj,788,463
1,down_proj,788,464
1,down_proj,788,465
1,down_proj,788,466
1,down_proj,788,467
1,down_proj,788,468
1,down_proj,788,469
1,down_proj,788,470
1,down_proj,788,471
1,down_proj,788,472
1,down_proj,788,473
1,down_proj,788,474
1,down_proj,788,475
1,down_proj,788,476
1,down_proj,788,477
1,down_proj,788,478
1,down_proj,788,479
1,down_proj,788,480
1,down_proj,788,481
1,down_proj,788,482
1,down_proj,788,483
1,down_proj,788,484
1,down_proj,788,485
1,down_proj,788,486
1,down_proj,788,487
1,down_proj,788,488
1,down_proj,788,489
1,down_proj,788,490
1,down_proj,788,491
1,down_proj,788,492
1,down_proj,788,493
1,down_proj,788,494
1,down_proj,788,495
1,down_proj,788,496
1,down_proj,788,497
1,down_proj,788,498
1,down_proj,788,499
1,down_proj,788,500
1,down_proj,788,501
1,down_proj,788,502
1,down_proj,788,503
1,down_proj,788,504
1,down_proj,788,505
1,down_proj,788,506
1,down_proj,788,507
1,down_proj,788,508
1,down_proj,788,509
1,down_proj,788,510
1,down_proj,788,511
1,down_proj,788,512
1,down_proj,788,513
1,down_proj,788,514
1,down_proj,788,515
1,down_proj,788,516
1,down_proj,788,517
1,down_proj,788,518
1,down_proj,788,519
1,down_proj,788,520
1,down_proj,788,521
1,down_proj,788,522
1,down_proj,788,523
1,down_proj,788,524
1,down_proj,788,525
1,down_proj,788,526
1,down_proj,788,527
1,down_proj,788,528
1,down_proj,788,529
1,down_proj,788,530
1,down_proj,788,531
1,down_proj,788,532
1,down_proj,788,533
1,down_proj,788,534
1,down_proj,788,535
1,down_proj,788,536
1,down_proj,788,537
1,down_proj,788,538
1,down_proj,788,539
1,down_proj,788,540
1,down_proj,788,541
1,down_proj,788,542
1,down_proj,788,543
1,down_proj,788,544
1,down_proj,788,545
1,down_proj,788,546
1,down_proj,788,547
1,down_proj,788,548
1,down_proj,788,549
1,down_proj,788,550
1,down_proj,788,551
1,down_proj,788,552
1,down_proj,788,553
1,down_proj,788,554
1,down_proj,788,555
1,down_proj,788,556
1,down_proj,788,557
1,down_proj,788,558
1,down_proj,788,559
1,down_proj,788,560
1,down_proj,788,561
1,down_proj,788,562
1,down_proj,788,563
1,down_proj,788,564
1,down_proj,788,565
1,down_proj,788,566
1,down_proj,788,567
1,down_proj,788,568
1,down_proj,788,569
1,down_proj,788,570
1,down_proj,788,571
1,down_proj,788,572
1,down_proj,788,573
1,down_proj,788,574
1,down_proj,788,575
1,down_proj,788,576
1,down_proj,788,577
1,down_proj,788,578
1,down_proj,788,579
1,down_proj,788,580
1,down_proj,788,581
1,down_proj,788,582
1,down_proj,788,583
1,down_proj,788,584
1,down_proj,788,585
1,down_proj,788,586
1,down_proj,788,587
1,down_proj,788,588
1,down_proj,788,589
1,down_proj,788,590
1,down_proj,788,591
1,down_proj,788,592
1,down_proj,788,593
1,down_proj,788,594
1,down_proj,788,595
1,down_proj,788,596
1,down_proj,788,597
1,down_proj,788,598
1,down_proj,788,599
1,down_proj,788,600
1,down_proj,788,601
1,down_proj,788,602
1,down_proj,788,603
1,down_proj,788,604
1,down_proj,788,605
1,down_proj,788,606
1,down_proj,788,607
1,down_proj,788,608
1,down_proj,788,609
1,down_proj,788,610
1,down_proj,788,611
1,down_proj,788,612
1,down_proj,788,613
1,down_proj,788,614
1,down_proj,788,615
1,down_proj,788,616
1,down_proj,788,617
1,down_proj,788,618
1,down_proj,788,619
1,down_proj,788,620
1,down_proj,788,621
1,down_proj,788,622
1,down_proj,788,623
1,down_proj,788,624
1,down_proj,788,625
1,down_proj,788,626
1,down_proj,788,627
1,down_proj,788,628
1,down_proj,788,629
1,down_proj,788,630
1,down_proj,788,631
1,down_proj,788,632
1,down_proj,788,633
1,down_proj,788,634
1,down_proj,788,635
1,down_proj,788,636
1,down_proj,788,637
1,down_proj,788,638
1,down_proj,788,639
1,down_proj,788,640
1,down_proj,788,641
1,down_proj,788,642
1,down_proj,788,643
1,down_proj,788,644
1,down_proj,788,645
1,down_proj,788,646
1,down_proj,788,647
1,down_proj,788,648
1,down_proj,788,649
1,down_proj,788,650
1,down_proj,788,651
1,down_proj,788,652
1,down_proj,788,653
1,down_proj,788,654
1,down_proj,788,655
1,down_proj,788,656
1,down_proj,788,657
1,down_proj,788,658
1,down_proj,788,659
1,down_proj,788,660
1,down_proj,788,661
1,down_proj,788,662
1,down_proj,788,663
1,down_proj,788,664
1,down_proj,788,665
1,down_proj,788,666
1,down_proj,788,667
1,down_proj,788,668
1,down_proj,788,669
1,down_proj,788,670
1,down_proj,788,671
1,down_proj,788,672
1,down_proj,788,673
1,down_proj,788,674
1,down_proj,788,675
1,down_proj,788,676
1,down_proj,788,677
1,down_proj,788,678
1,down_proj,788,679
1,down_proj,788,680
1,down_proj,788,681
1,down_proj,788,682
1,down_proj,788,683
1,down_proj,788,684
1,down_proj,788,685
1,down_proj,788,686
