layer,head,score
21,22,0.24770914018154144
21,23,0.4495221674442291
21,24,0.14900237321853638
21,25,0.1035083457827568
21,26,0.21098048985004425
21,27,0.10136011242866516
22,0,0.22727222740650177
22,1,0.12588554620742798
22,2,0.19423633813858032
22,3,0.17345541715621948
22,4,0.12773555517196655
22,5,0.14301256835460663
22,6,0.11182069033384323
22,7,0.11729738116264343
22,8,0.11294214427471161
22,9,0.18732315301895142
22,10,0.17074938118457794
22,11,0.19102288782596588
22,12,0.14700235426425934
22,13,0.18354038894176483
22,14,0.1697407066822052
22,15,0.20680922269821167
22,16,0.1197410374879837
22,17,0.12964631617069244
22,18,0.22709660232067108
22,19,0.20035992562770844
22,20,0.14552322030067444
22,21,0.1389661431312561
22,22,0.08408820629119873
22,23,0.23099340498447418
22,24,0.15849372744560242
22,25,0.15099424123764038
22,26,0.16565075516700745
22,27,0.162686288356781
23,0,0.12940864264965057
23,1,0.33868417143821716
23,2,0.1410944163799286
23,3,0.2920442819595337
23,4,0.16918744146823883
23,5,0.19753225147724152
23,6,0.2406340390443802
23,7,0.3208436369895935
23,8,0.2973022758960724
23,9,0.1799817532300949
23,10,0.39114007353782654
23,11,0.2935028374195099
23,12,0.1314503401517868
23,13,0.18666419386863708
23,14,0.2806472182273865
23,15,0.16262440383434296
23,16,0.3477112352848053
23,17,0.27343398332595825
23,18,0.15819166600704193
23,19,0.1915348321199417
23,20,0.24867485463619232
23,21,0.36306944489479065
23,22,0.388273149728775
23,23,0.3041696548461914
23,24,0.2614591121673584
23,25,0.480314701795578
23,26,0.29803651571273804
23,27,0.3759056329727173
24,0,0.31889310479164124
24,1,0.24265815317630768
24,2,0.3096224069595337
24,3,0.3264837861061096
24,4,0.20744463801383972
24,5,0.3133191764354706
24,6,0.26057884097099304
24,7,0.25186479091644287
24,8,0.27030277252197266
24,9,0.26118358969688416
24,10,0.145185649394989
24,11,0.17785732448101044
24,12,0.32144492864608765
24,13,0.20271596312522888
24,14,0.3072219789028168
24,15,0.3188513219356537
24,16,0.3507511019706726
24,17,0.22485467791557312
24,18,0.406684011220932
24,19,0.21610641479492188
24,20,0.30598217248916626
24,21,0.1477934867143631
24,22,0.271664559841156
24,23,0.29706788063049316
24,24,0.34370937943458557
24,25,0.21964147686958313
24,26,0.2253374457359314
24,27,0.3344477117061615
25,0,0.29957491159439087
25,1,0.34673577547073364
25,2,0.35016942024230957
25,3,0.33354005217552185
25,4,0.5757637619972229
25,5,0.33358699083328247
25,6,0.3493088483810425
25,7,0.22623567283153534
25,8,0.24746175110340118
25,9,0.18644525110721588
25,10,0.2024981677532196
25,11,0.26293155550956726
25,12,0.22202272713184357
